Gesamt,Cases 0-4y,Cases 5-14y,Cases 15-34y,Cases 35-59y,Cases 60-79y,Cases 80+y,Meldedatum
899,9,29,259,460,123,19,2020-03-02
6430,35,157,1587,3591,923,135,2020-03-09
22387,143,422,6026,11323,3673,789,2020-03-16
33968,254,629,8527,15214,6902,2437,2020-03-23
36052,270,722,8218,14588,7665,4585,2020-03-30
27131,237,540,6263,10447,5259,4382,2020-04-06
17325,158,397,4288,6298,3229,2948,2020-04-13
12349,186,343,3258,4293,2183,2081,2020-04-20
7427,133,256,2100,2585,1293,1060,2020-04-27
6234,138,231,1774,2305,1022,764,2020-05-04
4757,116,228,1387,1772,687,566,2020-05-11
3597,122,186,1127,1283,495,382,2020-05-18
3204,87,232,1031,1147,436,270,2020-05-25
2353,107,203,817,785,272,169,2020-06-01
2342,110,242,828,776,228,158,2020-06-08
4190,159,369,1449,1754,312,146,2020-06-15
3155,136,284,1064,1285,270,112,2020-06-22
2688,143,226,967,1000,251,101,2020-06-29
2421,147,217,871,860,252,71,2020-07-06
3026,141,283,1102,1123,287,89,2020-07-13
3927,162,343,1415,1548,356,102,2020-07-20
4833,150,450,1820,1842,397,170,2020-07-27
6057,188,650,2411,2182,471,137,2020-08-03
7952,276,955,3447,2653,453,162,2020-08-10
9597,284,956,4566,3161,523,105,2020-08-17
8827,222,835,4246,2876,533,111,2020-08-24
8612,227,752,4113,2848,556,109,2020-08-31
9759,226,823,4279,3301,861,262,2020-09-07
12291,290,873,5243,4285,1219,371,2020-09-14
13064,298,977,5367,4630,1347,427,2020-09-21
15925,327,1145,6334,5717,1791,599,2020-09-28
26118,523,1763,9907,9874,3046,960,2020-10-05
42061,890,2627,15670,15707,5241,1869,2020-10-12
74865,1456,4586,26464,28694,9658,3877,2020-10-19
111007,2227,6877,37513,43095,15065,6084,2020-10-26
125724,2414,8147,41759,48444,17358,7436,2020-11-02
127791,2412,8976,40905,48768,17526,8940,2020-11-09
128370,2383,9225,38411,49218,18186,10798,2020-11-16
123156,2315,9016,34755,46787,17806,12379,2020-11-23
128360,2304,8844,35508,48138,19218,14233,2020-11-30
156293,2661,9954,41914,59295,23991,18380,2020-12-07
174709,3094,9601,45698,66586,28479,21160,2020-12-14
138939,2106,6413,34421,53141,24311,18461,2020-12-21
123101,1526,4605,31170,46297,22003,17428,2020-12-28
145438,1900,5723,39645,53917,25060,19136,2021-01-04
118876,1854,4909,31505,43358,19941,17253,2021-01-11
95513,1695,4135,24043,35575,16318,13712,2021-01-18
78122,1528,3523,19806,29305,13546,10388,2021-01-25
64553,1512,3329,16689,24337,11009,7650,2021-02-01
50802,1347,2800,13607,19426,8376,5235,2021-02-08
52390,1377,3123,14586,20177,8599,4518,2021-02-15
56341,1886,3881,15947,21951,8849,3806,2021-02-22
58368,2371,5040,16766,22722,8331,3124,2021-03-01
71319,2992,6550,21014,27917,9652,3184,2021-03-08
92577,4049,8944,27346,35884,12770,3541,2021-03-15
116260,5023,12429,34002,45152,15536,4050,2021-03-22
110102,4466,10045,33004,43381,15446,3709,2021-03-29
118269,4025,9879,36705,47169,16679,3747,2021-04-05
142049,5087,14654,45281,53941,18829,4209,2021-04-12
144737,5574,17155,44251,55426,18241,3996,2021-04-19
124784,5059,14045,37945,48683,15765,3221,2021-04-26
100973,4111,11696,30607,38970,12783,2761,2021-05-03
70793,2963,8680,21568,26825,8781,1947,2021-05-10
52685,2298,7176,16543,19134,6120,1405,2021-05-17
29882,1410,4041,9854,10680,3110,778,2021-05-24
20681,1024,3110,6805,7204,2035,496,2021-05-31
14036,614,2468,4726,4668,1245,311,2021-06-07
7275,381,1233,2561,2352,589,157,2021-06-14
4830,257,801,1765,1537,378,91,2021-06-21
4360,173,555,1890,1327,345,70,2021-06-28
5575,180,505,2838,1594,365,93,2021-07-05
9100,258,859,4993,2413,465,110,2021-07-12
12626,347,1262,6746,3499,619,149,2021-07-19
15503,522,1733,7636,4471,906,231,2021-07-26
20415,756,2644,9650,5982,1055,325,2021-08-02
32064,1234,4451,14583,9644,1642,503,2021-08-09
49624,1868,9086,20778,14974,2249,654,2021-08-16
66349,2958,12524,26176,20309,3327,1033,2021-08-23
74679,3414,15423,27492,22767,4114,1447,2021-08-30
71668,3496,14338,25376,22357,4399,1680,2021-09-06
61453,2835,13209,20610,19000,4078,1702,2021-09-13
53603,2332,11578,17473,16875,3882,1446,2021-09-20
56466,2204,12019,17690,18305,4480,1758,2021-09-27
57975,1856,11603,17805,19429,5300,1967,2021-10-04
65323,2015,11968,20133,22543,6250,2399,2021-10-11
97687,2710,16406,29485,34398,10501,4170,2021-10-18
137020,3555,24553,39374,47952,15745,5794,2021-10-25
177909,4439,28837,49544,64983,22126,7907,2021-11-01
271410,7088,51602,72975,96787,32580,10253,2021-11-08
351771,9600,67347,90592,127985,43143,12922,2021-11-15
403361,11472,76919,101365,149711,49297,14346,2021-11-22
388267,12118,74742,97597,144956,46084,12543,2021-11-29
337933,12212,67802,84912,123283,38698,10778,2021-12-06
273491,10827,56443,70875,97937,28480,8627,2021-12-13
193931,7554,37574,55888,68246,18953,5546,2021-12-20
205957,6305,27210,72578,74626,19838,5216,2021-12-27
