dosen_erst_unvollstaendig_differenz_zum_vortag,fully vaccinated,boostered,Meldedatum
24354,1.3228303648879645e-05,0.0,2020-12-21
64080,0.0011376341138036494,2.4051461179781176e-06,2020-12-28
63088,0.0019613966592111546,2.4051461179781176e-06,2021-01-04
111985,0.025637655044587742,2.4051461179781176e-06,2021-01-11
83808,0.3244313624271272,3.607719176967176e-06,2021-01-18
52297,0.7255099213419811,7.215438353934352e-06,2021-01-25
69403,1.2694277030574372,8.41801141292341e-06,2021-02-01
80271,1.7809361408331386,9.62058447191247e-06,2021-02-08
103159,2.1930687513062197,1.0823157530901528e-05,2021-02-15
146538,2.6374772201095085,3.0064326474726463e-05,2021-02-22
208444,3.101874858299313,3.2469472592704584e-05,2021-03-01
256734,3.5739088354136985,3.968491094663894e-05,2021-03-08
189678,4.128353941687545,4.2090057064617055e-05,2021-03-15
286406,4.774271565120335,4.8102922359562345e-05,2021-03-22
237245,5.446016850141033,5.291321459551858e-05,2021-03-29
612846,6.112906145149534,6.854666436237634e-05,2021-04-05
694154,6.6832192029367405,8.177496801125599e-05,2021-04-12
649987,7.2159927401145465,9.500327166013563e-05,2021-04-19
998766,8.069475676101906,0.00011304186754497151,2021-04-26
917332,9.552818277465375,0.00013228303648879643,2021-05-03
1052821,11.393551161083687,0.00014671391319666515,2021-05-10
565593,14.349581566507986,0.00016715765519947914,2021-05-17
471164,17.85364135093642,0.00019601940861521655,2021-05-24
519015,21.674381914426803,0.0003812156596995316,2021-05-31
455014,26.64222685456037,0.000616919979261387,2021-06-07
472105,31.442879264875746,0.000739582431278271,2021-06-14
493984,35.6940592085162,0.0008285728376434614,2021-06-21
456435,39.190246949700494,0.0009211709631856188,2021-06-28
327129,42.868618496456335,0.001089531191444087,2021-07-05
205900,46.62567319588877,0.0013841615908964065,2021-07-12
156514,49.7385936877349,0.0019000654332027127,2021-07-19
123581,52.63575212905639,0.003201249483028874,2021-07-26
98983,55.19826695753382,0.005286511167315901,2021-08-02
105710,57.57225320498046,0.007825142894841805,2021-08-09
119059,59.23951973513184,0.010714925955592512,2021-08-16
123355,60.49255155710303,0.016575064472046194,2021-08-23
111102,61.47192585377065,0.09261496156498336,2021-08-30
92752,62.34545929037054,0.24488716744029593,2021-09-06
91189,63.272587800490385,0.4648017027376251,2021-09-13
79032,64.15262234704717,0.7376270474843549,2021-09-20
68535,64.80413434035037,0.9896623091872817,2021-09-27
55675,65.36036045732459,1.2526229471311243,2021-10-04
50610,65.87331679306331,1.566237164892645,2021-10-11
45636,66.33213328968634,1.9415505960186583,2021-10-18
47170,66.79993300706003,2.519288339872064,2021-10-25
48427,67.19816748069037,3.3533930135868752,2021-11-01
59366,67.62333478054984,4.770465421388635,2021-11-08
69604,68.05735542326958,7.171809003354229,2021-11-15
114750,68.56474264317212,11.409710135277324,2021-11-22
104995,69.09114855600258,17.36852578408635,2021-11-29
87091,69.64386195707148,24.562862588554623,2021-12-06
105309,70.3705323614154,32.274786837611785,2021-12-13
102268,70.88691242265305,36.52157017414857,2021-12-20
66079,71.2448715219648,39.25877918318616,2021-12-27
55517,71.8983629505231,42.86798353788119,2022-01-03
